# path	reference
Quick Set	01-client-and-quick-set.md
IPv6 → Settings	07-ipv6.md
Routing → Tables	08-routing-mpls.md
Routing → Rules	08-routing-mpls.md
Routing → Routes	08-routing-mpls.md
Routing → Nexthops	08-routing-mpls.md
Routing → Filters	08-routing-mpls.md
Routing → OSPF	08-routing-mpls.md
Routing → BGP	08-routing-mpls.md
Routing → BFD	08-routing-mpls.md
Routing → RIP	08-routing-mpls.md
Routing → IS-IS	08-routing-mpls.md
Routing → RPKI	08-routing-mpls.md
Routing → PIM	08-routing-mpls.md
MPLS → Interfaces	08-routing-mpls.md
MPLS → Forwarding Table	08-routing-mpls.md
MPLS → LDP	08-routing-mpls.md
MPLS → Traffic Engineering	08-routing-mpls.md
Interfaces → VPLS	08-routing-mpls.md
Routing → BGP → VPN	08-routing-mpls.md
System → Resources	09-system.md
System → Packages	09-system.md
System → RouterBOARD	09-system.md
System → Identity	09-system.md
System → Clock	09-system.md
System → NTP Client	09-system.md
System → NTP Server	09-system.md
System → Users	09-system.md
System → User Groups	09-system.md
System → Certificates	09-system.md
System → Logging	09-system.md
System → Scripts	09-system.md
System → Scheduler	09-system.md
System → History	09-system.md
System → Backup	09-system.md
System → Reset Configuration	09-system.md
System → Auto Upgrade	09-system.md
System → Device Mode	09-system.md
System → Health	09-system.md
System → LEDs	09-system.md
System → LCD	09-system.md
System → Ports	09-system.md
System → Console	09-system.md
System → Router Settings	09-system.md
System → GPS	09-system.md
System → PTP	09-system.md
System → UPS	09-system.md
System → Watchdog	09-system.md
System → Note	09-system.md
System → License	09-system.md
System → Partitions	09-system.md
System → Disks	09-system.md
System → Reboot	09-system.md
System → Shutdown	09-system.md
Queues → Simple Queues	10-queues.md
Queues → Queue Tree	10-queues.md
Queues → Queue Types	10-queues.md
Queues → Interface Queues	10-queues.md
Files	11-files-log-radius.md
Log	11-files-log-radius.md
RADIUS	11-files-log-radius.md
RADIUS → Incoming	11-files-log-radius.md
Tools → Ping	12-tools.md
Tools → Traceroute	12-tools.md
Tools → IP Scan	12-tools.md
Tools → MAC Scan	12-tools.md
Tools → Neighbor Discovery	12-tools.md
Tools → Torch	12-tools.md
Tools → Packet Sniffer	12-tools.md
Tools → Bandwidth Test	12-tools.md
Tools → Bandwidth Server	12-tools.md
Tools → Profile	12-tools.md
Tools → Netwatch	12-tools.md
Tools → Traffic Monitor	12-tools.md
Tools → Graphing	12-tools.md
Tools → Fetch	12-tools.md
Tools → E-mail	12-tools.md
Tools → SMS	12-tools.md
Tools → Telnet	12-tools.md
Tools → SSH	12-tools.md
Tools → MAC Telnet	12-tools.md
Tools → MAC Server	12-tools.md
Tools → RoMON	12-tools.md
Tools → Wake on LAN	12-tools.md
Tools → Flood Ping	12-tools.md
Tools → Traffic Generator	12-tools.md
Tools → Speed Test	12-tools.md
Tools → Ping Speed	12-tools.md
Tools → Cable Test	12-tools.md
Tools → Spectral Scan	12-tools.md
New Terminal	13-terminal-support.md
Make Supout.rif	13-terminal-support.md
Manual	13-terminal-support.md
Exit	13-terminal-support.md
WiFi	14-conditional-menus.md
Wireless (legacy)	14-conditional-menus.md
CAPsMAN	14-conditional-menus.md
LTE / 5G	14-conditional-menus.md
LoRa	14-conditional-menus.md
Bluetooth	14-conditional-menus.md
GPIO	14-conditional-menus.md
Container	14-conditional-menus.md
The Dude	14-conditional-menus.md
User Manager	14-conditional-menus.md
